,task_id,task_name,reference_idx,reference_title,model_name,total_count,score
0,1,hand injuries classificaiton,0,AI in Hand Surgery: Assessing Large Language Models in the Classification and Management of Hand Injuries,gemini-1.5-pro,136,72.55
1,1,hand injuries classificaiton,0,AI in Hand Surgery: Assessing Large Language Models in the Classification and Management of Hand Injuries,gpt-4-0125-preview,136,30.0
2,10,student assessment question/ex...,38,Performance of large language artificial intelligence models on solving restorative dentistry and endodontics student assessments,gemini-1.0-pro,151,44.0
3,10,student assessment question/ex...,38,Performance of large language artificial intelligence models on solving restorative dentistry and endodontics student assessments,gpt-3.5-turbo-1106,151,25.0
4,10,student assessment question/ex...,38,Performance of large language artificial intelligence models on solving restorative dentistry and endodontics student assessments,gpt-4-1106-preview,151,62.0
5,10,student assessment question/ex...,38,Performance of large language artificial intelligence models on solving restorative dentistry and endodontics student assessments,gpt-4o-2024-05-13,151,72.0
6,100,responses to liver cancer surv...,337,"Large language models' responses to liver cancer surveillance, diagnosis, and management questions: accuracy, reliability, readability.",gemini-1.5-pro,60,57.0
7,100,responses to liver cancer surv...,337,"Large language models' responses to liver cancer surveillance, diagnosis, and management questions: accuracy, reliability, readability.",gpt-3.5-turbo-0613,60,45.5
8,100,responses to liver cancer surv...,337,"Large language models' responses to liver cancer surveillance, diagnosis, and management questions: accuracy, reliability, readability.",gpt-4-0613 (open),60,46.3
9,101,Radiology report generation,340,Leveraging Professional Radiologists' Expertise to Enhance LLMs' Evaluation for AI-generated Radiology Reports,gpt-3.5-0301,100,16.0
10,101,Radiology report generation,340,Leveraging Professional Radiologists' Expertise to Enhance LLMs' Evaluation for AI-generated Radiology Reports,gpt-4-0314,100,48.0
11,102,Japanese Dental Society of Ane...,342,"Evaluating Large Language Models in Dental Anesthesiology: A Comparative Analysis of ChatGPT-4, Claude 3 Opus, and Gemini 1.0 on the Japanese Dental Society of Anesthesiology Board Certification Exam",claude-3-opus-20240229,295,47.4
12,102,Japanese Dental Society of Ane...,342,"Evaluating Large Language Models in Dental Anesthesiology: A Comparative Analysis of ChatGPT-4, Claude 3 Opus, and Gemini 1.0 on the Japanese Dental Society of Anesthesiology Board Certification Exam",gemini-1.0-pro,295,30.3
13,102,Japanese Dental Society of Ane...,342,"Evaluating Large Language Models in Dental Anesthesiology: A Comparative Analysis of ChatGPT-4, Claude 3 Opus, and Gemini 1.0 on the Japanese Dental Society of Anesthesiology Board Certification Exam",gpt-4-0125-preview,295,51.2
14,103,Identifying Final Diagnoses Wi...,345,Evaluating ChatGPT-4?셲 Accuracy in Identifying Final Diagnoses Within Differential Diagnoses Compared With Those of Physicians: Experimental Study for Diagnostic Cases,gpt-4-0613,1176,47.0
15,103,Identifying Final Diagnoses Wi...,345,Evaluating ChatGPT-4?셲 Accuracy in Identifying Final Diagnoses Within Differential Diagnoses Compared With Those of Physicians: Experimental Study for Diagnostic Cases,llama-2-70B,1176,63.0
16,103,Identifying Final Diagnoses Wi...,345,Evaluating ChatGPT-4?셲 Accuracy in Identifying Final Diagnoses Within Differential Diagnoses Compared With Those of Physicians: Experimental Study for Diagnostic Cases,palm-2-540B,1176,67.0
17,104,Potential Use in Clinical Card...,348,The Pulse of Artificial Intelligence in Cardiology: A Comprehensive Evaluation of State-of-the-art Large Language Models for Potential Use in Clinical Cardiology,gpt-3.5-0301,90,56.7
